order_id,order_date,amount_usd,amount_inr,tax_usd,tax_inr,shipping_usd,shipping_inr,exchange_rate
ORD-058,2019-06-08,55321.52,3838151.74,5511.41,382376.11,34.38,2385.25,69.38
ORD-059,2018-02-27,17889.19,1159684.63,1725.51,111857.91,76.22,4941.04,64.83
ORD-060,2022-09-10,147075.62,11708543.03,22042.68,1754795.71,29.62,2358.02,79.61
ORD-061,2022-03-16,104597.48,7978591.18,2377.53,181355.61,86.85,6624.83,76.28
ORD-062,2018-01-25,37834.38,2406569.24,5868.5,373283.55,11.41,725.77,63.61
ORD-063,2019-05-29,149087.41,10397654.15,3178.73,221690.99,76.44,5331.08,69.74
ORD-064,2019-05-02,148504.19,10333664.06,8163.04,568025.14,62.1,4321.23,69.59
ORD-065,2023-05-29,23516.42,1942221.13,735.75,60765.59,7.51,620.25,82.59
ORD-066,2019-03-04,10630.52,752693.97,446.65,31625.05,26.46,1873.5,70.81
ORD-067,2018-12-24,10665.05,747897.3,318.52,22336.53,30.76,2157.08,70.13
ORD-068,2021-08-11,74043.97,5508575.19,1072.12,79761.44,3.99,296.84,74.4
ORD-069,2025-05-17,88047.8,7531608.81,328.79,28124.7,76.48,6542.1,85.54
ORD-070,2022-07-25,95199.45,7597772.91,8426.16,672483.4,9.12,727.86,79.81
ORD-071,2021-07-22,99370.66,7402120.46,7162.78,533555.48,76.05,5664.96,74.49
ORD-072,2025-09-12,123730.33,10925388.14,25.64,2264.01,86.94,7676.8,88.3
ORD-073,2020-12-15,30493.91,2244656.72,3014.61,221905.44,92.77,6828.8,73.61
ORD-074,2017-10-10,82603.39,5394249.18,8211.21,536216.65,9.32,608.62,65.3
ORD-076,2024-05-14,129597.24,10822665.51,6444.16,538151.8,79.0,6597.29,83.51
ORD-077,2025-05-23,86967.5,7445287.67,10330.81,884420.64,86.53,7407.83,85.61
ORD-078,2025-01-10,147115.23,12641611.71,0.0,0.0,38.3,3291.12,85.93
ORD-079,2024-11-19,74274.06,6267987.92,494.93,41767.14,50.23,4238.91,84.39
ORD-080,2016-03-03,61467.29,4144309.09,7244.57,488450.64,15.44,1041.01,67.42
ORD-081,2025-07-23,56970.41,4920534.31,3247.26,280465.85,71.87,6207.41,86.37
ORD-082,2018-07-20,65067.42,4482754.83,1152.98,79433.4,63.37,4365.81,68.89
ORD-083,2019-04-16,56194.91,3905265.27,1472.45,102327.91,53.12,3691.57,69.5
ORD-084,2022-12-13,74624.97,6165515.02,7833.26,647183.94,23.22,1918.44,82.62
ORD-085,2022-02-16,11032.98,829437.37,1877.18,141122.64,98.77,7425.33,75.18
ORD-086,2020-04-24,15953.32,1215946.1,1095.12,83468.95,0.0,0.0,76.22
ORD-087,2019-01-29,84867.65,6037145.15,10476.39,745248.48,74.47,5297.5,71.14
ORD-089,2017-06-22,136439.65,8807315.85,8023.94,517953.35,41.55,2682.09,64.55
ORD-090,2025-04-24,38508.36,3287843.78,5716.34,488061.11,48.18,4113.61,85.38
ORD-091,2024-06-16,129014.1,10776547.77,16818.15,1404820.07,0.0,0.0,83.53
ORD-092,2020-02-18,87663.24,6264415.13,12977.24,927353.57,0.0,0.0,71.46
ORD-093,2019-09-05,33166.15,2383021.04,377.4,27116.57,82.39,5919.8,71.85
ORD-094,2017-04-20,35181.74,2273092.22,3404.13,219940.84,38.86,2510.74,64.61
ORD-095,2017-02-09,92328.61,6184724.27,15606.26,1045400.93,27.97,1873.6,66.99
ORD-096,2020-02-13,135249.52,9649241.75,15698.25,1119975.95,6.06,432.34,71.34
ORD-097,2023-03-13,145662.55,11957438.73,1326.13,108862.01,0.0,0.0,82.09
ORD-098,2022-07-29,121948.6,9691133.29,0.0,0.0,77.44,6154.08,79.47
ORD-099,2018-10-23,16444.45,1209703.08,2564.69,188666.29,13.18,969.56,73.56
ORD-101,2024-02-26,45209.63,3746522.04,5235.33,433851.8,3.12,258.55,82.87
ORD-102,2016-10-28,48282.88,3225779.21,1289.16,86128.78,12.62,843.14,66.81
ORD-103,2019-04-22,75807.94,5269106.68,5870.25,408017.6,79.31,5512.52,69.51
ORD-104,2020-08-21,124104.25,9299751.97,8907.14,667456.54,72.96,5467.26,74.94
ORD-105,2016-10-01,124757.37,8318821.43,2093.61,139601.91,0.0,0.0,66.68
ORD-106,2019-09-12,61591.84,4394269.82,9685.28,690996.3,94.11,6714.28,71.35
ORD-107,2022-06-25,31871.46,2495089.12,3767.61,294951.12,22.42,1755.17,78.29
ORD-109,2024-07-19,138226.71,11559899.76,8733.75,730403.51,0.0,0.0,83.63
ORD-110,2017-01-10,32230.69,2197133.91,2435.67,166037.19,34.09,2323.88,68.17
ORD-111,2017-09-29,113153.1,7394215.63,1013.54,66231.8,8.16,533.23,65.35
ORD-112,2017-04-11,64458.54,4158349.33,3286.38,212010.95,0.0,0.0,64.51
ORD-113,2016-08-12,30623.69,2047346.79,5210.88,348373.38,0.0,0.0,66.86
ORD-114,2017-06-13,79863.98,5142601.4,0.0,0.0,55.87,3597.58,64.39
ORD-115,2016-11-14,86342.66,5826489.04,8911.59,601363.0,0.0,0.0,67.48
ORD-116,2021-02-27,13173.89,965777.88,2002.53,146805.47,24.33,1783.63,73.31
ORD-117,2019-09-26,11410.73,809591.29,1300.6,92277.57,53.06,3764.61,70.95
ORD-118,2018-11-14,25983.53,1881051.67,714.98,51760.26,75.92,5496.15,72.39
ORD-119,2023-08-21,96430.92,8010516.52,17123.79,1422473.24,32.32,2684.82,83.07
ORD-120,2016-08-18,76075.9,5086662.9,4250.62,284209.21,0.0,0.0,66.86
ORD-121,2022-11-24,76035.53,6212102.8,6332.85,517393.85,55.43,4528.63,81.7
ORD-122,2017-09-09,67550.99,4315967.85,9860.69,630019.21,0.0,0.0,63.89
ORD-123,2021-11-16,91451.3,6811292.82,5990.21,446150.84,91.79,6836.52,74.48
ORD-124,2019-10-02,49420.1,3511051.0,4963.43,352626.88,38.66,2746.6,71.05
ORD-126,2025-12-02,100500.97,9022977.09,14996.01,1346341.78,73.88,6632.95,89.78
ORD-127,2018-05-27,142147.62,9667601.78,12442.01,846193.54,22.65,1540.45,68.01
ORD-128,2025-05-13,5614.01,478145.23,340.31,28984.2,76.63,6526.58,85.17
ORD-129,2024-02-01,6506.05,539872.03,426.63,35401.76,71.96,5971.24,82.98
ORD-130,2025-05-13,55144.54,4696660.47,9401.23,800702.76,98.44,8384.13,85.17
ORD-131,2024-12-25,20716.7,1762991.17,932.26,79335.33,64.12,5456.61,85.1
ORD-132,2016-09-12,40882.33,2732861.11,6661.98,445333.38,14.73,984.66,66.85
ORD-133,2016-08-06,75276.17,5029878.4,3194.72,213468.0,99.45,6645.15,66.82
ORD-134,2016-06-05,137605.3,9249140.24,11702.21,786564.05,83.11,5586.24,67.22
ORD-135,2022-02-25,79142.11,5961775.15,1583.92,119316.69,28.81,2170.26,75.33
ORD-136,2025-05-20,89490.69,7650559.09,264.75,22633.48,51.54,4406.15,85.49
ORD-137,2020-02-09,99638.91,7109036.95,1535.49,109554.14,97.47,6954.29,71.35
ORD-138,2025-10-17,6482.34,569927.33,451.42,39688.85,37.33,3282.05,87.92
ORD-139,2024-06-26,19968.11,1667536.87,1266.25,105744.54,33.85,2826.81,83.51
ORD-140,2016-09-15,5499.42,368301.66,199.55,13364.06,79.11,5298.08,66.97
ORD-141,2024-12-06,42880.94,3631586.81,6654.48,563567.91,4.78,404.82,84.69
ORD-142,2019-10-20,74405.29,5292745.9,6663.31,473987.89,92.43,6574.92,71.13
ORD-143,2022-02-12,48147.77,3622397.48,693.93,52207.82,66.09,4972.28,75.24
ORD-144,2024-02-25,92208.46,7643159.25,0.0,0.0,63.95,5300.82,82.89
ORD-145,2023-08-14,142916.05,11853457.19,0.0,0.0,0.0,0.0,82.94
ORD-146,2020-01-23,142417.54,10145967.97,830.2,59144.28,15.34,1092.84,71.24
ORD-147,2020-02-12,47123.54,3359908.4,2363.91,168546.78,96.05,6848.36,71.3
ORD-148,2023-11-23,32146.29,2678107.42,3540.52,294960.72,69.4,5781.71,83.31
ORD-149,2020-12-28,121567.51,8941168.79,21172.32,1557202.96,98.66,7256.34,73.55
ORD-151,2020-02-20,120539.44,8630382.83,0.0,0.0,61.19,4381.08,71.6
ORD-152,2025-03-26,11016.29,944426.54,1928.16,165301.16,64.23,5506.44,85.73
ORD-153,2024-10-08,64864.37,5445363.86,10633.1,892648.75,5.54,465.08,83.95
ORD-154,2019-11-18,134233.63,9634216.09,20439.5,1466983.79,25.06,1798.61,71.77
ORD-155,2022-08-21,23086.85,1842169.02,2737.45,218429.35,0.0,0.0,79.79
ORD-156,2016-07-05,39661.62,2670892.81,1504.98,101348.36,57.21,3852.64,67.34
ORD-157,2021-01-06,120693.46,8828243.83,14881.3,1088507.57,29.74,2175.36,73.15
ORD-158,2022-10-20,46853.0,3882708.11,6058.34,502054.64,73.42,6084.32,82.87
ORD-159,2018-09-17,18334.41,1325632.85,1483.75,107279.58,14.09,1018.75,72.3
ORD-160,2025-02-14,140059.42,12158558.25,18180.15,1578218.82,18.98,1647.65,86.81
ORD-161,2020-05-29,68557.46,5183423.88,0.0,0.0,58.33,4410.16,75.61
ORD-162,2025-07-02,64610.71,5533261.2,10262.9,878914.76,0.0,0.0,85.64
ORD-163,2022-03-16,10983.44,837805.82,996.92,76044.06,76.44,5830.77,76.28
ORD-165,2019-09-26,77875.87,5525292.98,2087.8,148129.41,89.31,6336.54,70.95
ORD-166,2025-06-13,89038.38,7649287.23,8130.69,698507.58,50.97,4378.83,85.91
ORD-167,2017-03-24,87534.51,5728783.54,12553.84,821598.61,72.53,4746.8,65.45
ORD-168,2016-07-29,72041.34,4829291.23,6797.95,455700.58,0.0,0.0,67.04
ORD-169,2018-02-20,66127.84,4270271.4,4984.75,321895.22,41.3,2666.99,64.58
ORD-170,2018-04-29,48723.68,3250356.69,5807.9,387445.01,52.55,3505.61,66.71
ORD-171,2024-08-28,91491.99,7678007.8,3166.31,265716.74,24.65,2068.63,83.92
ORD-172,2019-07-22,52287.92,3602951.42,8787.83,605534.21,79.54,5480.78,68.91
ORD-173,2025-03-06,143189.06,12461743.89,20738.19,1804844.68,29.05,2528.22,87.03
ORD-174,2021-05-16,30270.3,2219690.83,2934.52,215185.42,93.3,6841.6,73.33
ORD-176,2020-07-24,71591.15,5355877.11,2570.27,192287.04,96.39,7211.13,74.81
ORD-177,2021-12-31,136980.12,10193101.67,4316.47,321201.48,88.22,6564.71,74.41
ORD-178,2024-05-25,131505.31,10935981.58,219.36,18241.98,56.8,4723.49,83.16
ORD-179,2025-07-17,70176.52,6033075.42,2435.55,209384.23,11.26,968.02,85.97
ORD-180,2022-05-14,26283.01,2034094.71,4050.38,313467.01,89.7,6942.06,77.39
ORD-182,2023-08-10,9271.76,767238.14,197.31,16327.4,30.68,2538.77,82.75
ORD-183,2018-06-16,71701.19,4866144.66,5872.05,398518.42,98.88,6710.69,67.87
ORD-184,2024-07-17,102035.31,8524029.8,10942.94,914173.21,0.0,0.0,83.54
ORD-185,2025-04-17,135428.37,11584542.77,4928.0,421541.12,53.67,4590.93,85.54
ORD-186,2017-01-07,66794.68,4539232.86,668.91,45457.79,13.19,896.37,67.96
ORD-187,2018-11-08,111857.96,8105451.5,11643.97,843745.35,4.53,328.25,72.46
ORD-188,2016-05-09,61300.48,4080221.25,8484.9,564763.43,76.58,5097.24,66.56
ORD-189,2023-06-03,19905.12,1639982.84,3082.34,253953.99,11.86,977.15,82.39
ORD-190,2019-05-07,101008.65,7008788.21,9898.86,686862.1,53.19,3690.75,69.39
ORD-191,2024-08-01,4784.21,400438.38,568.53,47585.96,61.49,5146.71,83.7
ORD-192,2023-11-20,36672.36,3055174.31,292.01,24327.35,43.9,3657.31,83.31
ORD-193,2022-06-17,86600.1,6760350.21,12042.34,940073.23,81.84,6388.76,78.06
ORD-194,2019-02-01,83485.55,5937408.83,8891.22,632334.68,73.52,5228.67,71.12
ORD-195,2023-07-12,117859.98,9698697.75,6761.89,556435.93,41.63,3425.73,82.29
ORD-196,2019-05-16,120856.71,8479185.92,19899.47,1396126.92,56.24,3945.74,70.16
ORD-197,2016-11-19,127062.36,8643925.29,0.0,0.0,72.46,4929.38,68.03
ORD-198,2018-02-09,108632.0,6989926.04,10927.63,703138.35,47.94,3084.7,64.35
ORD-199,2024-05-17,137161.92,11442047.37,17174.42,1432690.12,70.38,5871.1,83.42
