order_id,order_date,amount_usd,tax_usd,shipping_usd
 ORD084 ,13/12/2022,74624.97,$7833.26, 23.22 
Ord-085,16/02/2022,11032.98, 1877.18 , 98.77 
ord086,2020/04/24,15953.32,1095.12,
 ORD087 ,2019-01-29,$84867.65, 10476.39 ,74.47
ord088,notadate,USD 32811.63,$1122.94, 25.06 
Ord-089,2017-06-22,USD 136439.65,"$8,023.94",41.55
 ORD090 ,24/04/2025,38508.36,5716.34, 48.18 
ord091,16/06/2024,"$129,014.10", 16818.15 ,
 ORD092 ,02-18-2020,$87663.24, 12977.24 ,
Ord-093,05-Sep-2019,33166.15,$377.4,$82.39
 ORD094 ,2017-04-20,35181.74,"$3,404.13",USD 38.86
Ord-095,2017/02/09,92328.61, 15606.26 ,27.97
Ord-096,13-Feb-2020,135249.52,$15698.25, 6.06 
ord097,13-Mar-2023,USD 145662.55,USD 1326.13,
ord098,29/07/2022,"$121,948.60",,USD 77.44
Ord-099,23/10/2018,16444.45,USD 2564.69,$13.18
ord099,2017/06/03,78889.13,$10588.48,USD 47.62
ord101,26-Feb-2024, 45209.63 , 5235.33 , 3.12 
 ORD102 ,2016-10-28,"$48,282.88","$1,289.16", 12.62 
Ord-103,2019/04/22,$75807.94,"$5,870.25",USD 79.31
ord104,08-21-2020,124104.25,8907.14,USD 72.96
 ORD105 ,2016-10-01,124757.37,"$2,093.61",
Ord-106,2019-09-12, 61591.84 ,$9685.28,$94.11
ord107,25-Jun-2022,$31871.46,"$3,767.61",22.42
 ORD108 ,notadate,"$146,180.72",,61.36
Ord-109,07-19-2024,USD 138226.71, 8733.75 ,
ord110,10-Jan-2017,32230.69,2435.67,$34.09
ord111,29/09/2017, 113153.1 , 1013.54 , 8.16 
Ord-112,04-11-2017, 64458.54 ,3286.38,
Ord-113,2016-08-12,30623.69,$5210.88,
ord114,2017/06/13,79863.98,,$55.87
 ORD115 ,11-14-2016, 86342.66 , 8911.59 ,
Ord-116,02-27-2021,"$13,173.89",$2002.53,24.33
ord117,26/09/2019,USD 11410.73,1300.6,USD 53.06
ord118,14/11/2018,$25983.53, 714.98 ,$75.92
 ORD119 ,21-Aug-2023,96430.92,$17123.79,32.32
Ord-120,08-18-2016,$76075.9,4250.62,
ord121,24-Nov-2022,$76035.53,"$6,332.85",55.43
Ord-122,2017-09-09,$67550.99,USD 9860.69,
 ORD123 ,16-Nov-2021, 91451.3 ,5990.21,$91.79
Ord-124,2019-10-02,49420.1,"$4,963.43",38.66
Ord-124,08-02-2017,USD 46500.27,$5491.21, 66.21 
 ORD126 ,12/02/2025,"$100,500.97", 14996.01 ,$73.88
ord127,05-27-2018,USD 142147.62,12442.01,$22.65
Ord-128,13-May-2025,USD 5614.01,USD 340.31,$76.63
ord129,2024/02/01, 6506.05 , 426.63 ,USD 71.96
 ORD130 ,13/05/2025, 55144.54 , 9401.23 , 98.44 
ord131,25-Dec-2024,20716.7,$932.26,$64.12
 ORD132 ,09/12/2016, 40882.33 ,USD 6661.98,14.73
 ORD133 ,2016/08/06,75276.17,3194.72,99.45
ord134,06-05-2016, 137605.3 ,$11702.21,$83.11
ord135,25-Feb-2022,79142.11,USD 1583.92,$28.81
ord136,2025/05/20,USD 89490.69,264.75,$51.54
Ord-137,02/09/2020,$99638.91,"$1,535.49",$97.47
 ORD138 ,2025/10/17,$6482.34,$451.42,$37.33
Ord-139,06-26-2024,USD 19968.11, 1266.25 , 33.85 
ord140,2016/09/15,$5499.42,199.55,$79.11
ord141,12/06/2024,42880.94,6654.48, 4.78 
 ORD142 ,20/10/2019,"$74,405.29",$6663.31,$92.43
ord143,02-12-2022,48147.77, 693.93 , 66.09 
ord144,02-25-2024,$92208.46,,63.95
Ord-145,14/08/2023, 142916.05 ,,
 ORD146 ,2020/01/23, 142417.54 ,830.2,$15.34
Ord-147,2020/02/12,$47123.54, 2363.91 ,$96.05
 ORD148 ,2023/11/23, 32146.29 ,USD 3540.52, 69.4 
Ord-149,2020-12-28,121567.51,"$21,172.32",98.66
Ord-149,16/12/2023,USD 119044.14,USD 10901.59,$12.14
Ord-151,2020/02/20,$120539.44,, 61.19 
 ORD152 ,26-Mar-2025, 11016.29 ,"$1,928.16",$64.23
ord153,10/08/2024,$64864.37,10633.1,5.54
ord154,18-Nov-2019,"$134,233.63",20439.5,$25.06
ord155,21-Aug-2022,"$23,086.85","$2,737.45",
ord156,05-Jul-2016,"$39,661.62", 1504.98 ,$57.21
 ORD157 ,01/06/2021,$120693.46,USD 14881.3, 29.74 
 ORD158 ,20/10/2022,46853.0,USD 6058.34,$73.42
 ORD159 ,2018/09/17,$18334.41, 1483.75 , 14.09 
ord160,02-14-2025,USD 140059.42,"$18,180.15",18.98
ord161,29-May-2020,$68557.46,, 58.33 
ord162,2025-07-02, 64610.71 , 10262.9 ,
 ORD163 ,03-16-2022,10983.44,$996.92,$76.44
ord164,32/13/2020,USD 119224.33,"$7,276.90",$93.89
Ord-165,2019/09/26,USD 77875.87,"$2,087.80", 89.31 
Ord-166,06-13-2025, 89038.38 ,8130.69,$50.97
Ord-167,2017/03/24,$87534.51,12553.84,$72.53
Ord-168,29-Jul-2016, 72041.34 ,USD 6797.95,
ord169,2018-02-20,USD 66127.84,"$4,984.75",$41.3
Ord-170,29-Apr-2018,48723.68, 5807.9 ,52.55
Ord-171,08-28-2024,"$91,491.99",3166.31,USD 24.65
 ORD172 ,2019/07/22,52287.92,"$8,787.83", 79.54 
 ORD173 ,03-06-2025,143189.06,$20738.19, 29.05 
Ord-174,16/05/2021,30270.3,"$2,934.52",USD 93.3
Ord-174,15/12/2021, 95673.58 ,USD 903.96,
ord176,2020/07/24,71591.15,$2570.27,$96.39
ord177,2021-12-31,USD 136980.12,$4316.47, 88.22 
ord178,05-25-2024,$131505.31,219.36,$56.80
ord179,17-Jul-2025,USD 70176.52,2435.55,$11.26
 ORD180 ,14/05/2022, 26283.01 ,$4050.38,$89.7
ord181,, 140370.6 ,172.57,$38.36
 ORD182 ,08/10/2023, 9271.76 ,197.31,30.68
ord183,16/06/2018,71701.19,"$5,872.05",$98.88
ord184,17/07/2024,"$102,035.31",10942.94,
ord185,17-Apr-2025,USD 135428.37,"$4,928.00",USD 53.67
 ORD186 ,07-Jan-2017, 66794.68 ,$668.91,13.19
 ORD187 ,2018-11-08,111857.96,"$11,643.97",$4.53
 ORD188 ,05-09-2016, 61300.48 , 8484.9 , 76.58 
Ord-189,03-Jun-2023,"$19,905.12",USD 3082.34,USD 11.86
ord190,2019/05/07,USD 101008.65,9898.86,USD 53.19
Ord-191,2024-08-01,$4784.21,$568.53,$61.49
Ord-192,2023-11-20,"$36,672.36",$292.01,43.9
Ord-193,06-17-2022,USD 86600.1,USD 12042.34,$81.84
 ORD194 ,2019-02-01,USD 83485.55, 8891.22 ,$73.52
Ord-195,2023/07/12,USD 117859.98,USD 6761.89, 41.63 
ord196,16/05/2019, 120856.71 ,USD 19899.47,56.24
Ord-197,2016/11/19,USD 127062.36,,$72.46
ord198,09-Feb-2018,108632.0,$10927.63,USD 47.94
ord199,2024/05/17, 137161.92 ,"$17,174.42",70.38
